Location,BHK,Furnishing,Sq.ft,Old(years),Floor,Price
Electronic city,3,0,3155,1,1,45000
Electronic city,2,0,1280,5,3,23000
Electronic city,3,1,1760,5,3,39500
Electronic city,3,1,1471,10,3,21000
Electronic city,3,0,2292,5,2,39000
Electronic city,1,1,1056,3,3,15000
Electronic city,2,1,1521,3,2,17000
Electronic city,3,1,1200,2,4,16000
Electronic city,3,1,2732,2,2,18000
Electronic city,2,1,1521,3,2,24000
Electronic city,2,1,1180,10,3,26000
Electronic city,2,1,2785,9,2,13500
Electronic city,3,1,1850,2,3,25000
Electronic city,2,0,1600,5,2,40000
Electronic city,2,0,1600,1,2,21000
Electronic city,3,0,1750,5,3,15000
Electronic city,2,0,2300,3,2,12000
Electronic city,3,0,1850,6,4,17650
Electronic city,1,1,1055,9,3,14500
Electronic city,2,1,1400,2,3,14000
Electronic city,3,1,1550,5,5,16000
Electronic city,2,1,1056,3,3,19500
Electronic city,2,1,1200,2,4,16500
Electronic city,2,1,1400,1,4,18000
Electronic city,2,1,1089,1,5,16000
Electronic city,3,0,1600,8,3,15000
Electronic city,2,0,950,1,3,16500
Electronic city,2,0,1089,5,4,18500
Electronic city,2,0,1250,5,2,26500
Electronic city,3,1,950,1,3,28000
Electronic city,2,1,1200,5,5,23500
Electronic city,2,1,1200,3,2,15000
Electronic city,2,1,1175,6,2,16500
Electronic city,2,0,1100,2,2,10000
Electronic city,1,1,800,3,1,13000
Electronic city,1,0,875,3,2,15000
Electronic city,3,1,1950,2,3,12500
Electronic city,2,1,1350,2,1,13000
Electronic city,1,1,1050,4,3,14500
Electronic city,2,0,1060,4,3,25000
Electronic city,3,1,1950,5,2,30000
Electronic city,2,1,1050,2,3,16500
Electronic city,2,1,1100,9,2,19500
Electronic city,3,0,1900,3,3,25000
Electronic city,3,0,1800,7,5,22000
Electronic city,2,1,1100,8,3,20000
Electronic city,2,0,3155,3,3,18000
Electronic city,3,1,1850,4,3,25000
Electronic city,2,1,1290,7,3,17000
Electronic city,2,1,1135,4,4,14000
Electronic city,1,1,1251,7,2,12000
Electronic city,3,1,1750,2,3,17000
Electronic city,2,1,1675,9,2,17800
Electronic city,1,1,1500,4,2,19000
Electronic city,2,0,950,3,2,12500
Electronic city,3,1,1600,5,3,13000
Electronic city,2,0,1326,1,3,21000
Electronic city,2,0,960,7,3,11000
Electronic city,3,0,1250,1,1,20000
Electronic city,2,1,767,6,3,16000
Electronic city,3,0,1650,5,3,19000
Electronic city,3,1,1600,1,1,20000
Electronic city,3,0,1540,1,1,20000
Electronic city,3,1,1850,5,2,39500
Electronic city,3,1,1490,1,2,25000
Electronic city,2,0,1333,1,3,26000
Electronic city,3,1,3000,1,3,28000
Electronic city,2,1,1245,5,1,25000
Electronic city,2,0,1060,1,1,17000
Electronic city,3,1,1250,1,1,20000
